|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
8	0	0.05	1	0	-0.008491	0	0.03463	0	0	0.06597	0.1634	0.04217	0	0	0.03337	0.02985	0.04364	0	0	0.008784	0.002357
8	1	0.05	1	0	0.005634	194	0.0339	0	0	0.05198	0.08141	0.03286	0	0	0.04287	0.0421	0.04271	0	0	0.01069	0.002333
8	2	0.05	1	0	0.09219	194.1	0.03488	0	0	0.06963	0.2674	0.02879	0	0	0.05302	0.07069	0.04343	0	0	0.01092	0.002097
8	3	0.05	1	0	0.1453	193	0.03591	0	0	0.06405	0.146	0.02779	0	0	0.05121	0.06643	0.04395	0	0	0.02254	0.002403
8	4	0.05	0.99	0.01	0.335	191.1	0.03734	0	0	0.07566	0.1794	0.02774	0	0	0.04122	0.05004	0.04451	0	0	0.02173	0.003537
8	5	0.0485	0.97	0.03	0.4183	191.2	0.03916	0	0.1244	0.08053	0.1852	0.02891	0	0.1016	0.03732	0.04188	0.04344	0	0.1	0.02323	0.003296
8	6	0.0465	0.92	0.08	0.547	190	0.04021	0	0.2532	0.07014	0.1161	0.03092	0	0.1758	0.0545	0.08684	0.04336	0	0.1	0.01253	0.004427
8	7	0.0445	0.89	0.11	0.5876	189.9	0.04198	0	0.3132	0.07587	0.1654	0.03236	0	0.1758	0.04551	0.05587	0.04373	0	0.1	0.02797	0.00722
8	8	0.0395	0.78	0.22	0.7258	190.3	0.04312	0	0.34	0.1019	0.163	0.03433	0	0.1641	0.04709	0.07713	0.04349	0	0.1	0.03002	0.00418
8	9	0.034	0.67	0.33	0.7269	190.4	0.04406	0	0.354	0.07678	0.1788	0.03649	0	0.168	0.04763	0.0548	0.04399	0	0.1	0.02232	0.005512
8	10	0.036	0.7	0.3	0.7668	190.7	0.04552	0	0.3664	0.08507	0.2068	0.03863	0	0.1797	0.03691	0.04751	0.04474	0	0.1	0.03037	0.005033
8	11	0.031	0.56	0.44	0.7357	189.9	0.04675	0	0.3792	0.08116	0.1676	0.04042	0	0.1797	0.05035	0.07077	0.04428	0	0.1	0.02659	0.007235
8	12	0.025	0.48	0.52	0.7893	192.3	0.0473	0	0.3832	0.09	0.1481	0.04301	0	0.1602	0.05028	0.06992	0.04479	0	0.1	0.02488	0.003542
8	13	0.0205	0.39	0.61	0.7957	190.6	0.04825	0	0.3796	0.07347	0.1406	0.04451	0	0.1484	0.04667	0.06816	0.04391	0	0.1	0.0269	0.003633
8	14	0.0185	0.35	0.65	0.8003	190.5	0.04949	0	0.3856	0.06837	0.1076	0.04616	0	0.1484	0.05477	0.08058	0.04321	0	0.1	0.01581	0.004428
8	15	0.0185	0.36	0.64	0.8404	190.7	0.05072	0	0.3924	0.1027	0.2713	0.04903	0	0.1445	0.05283	0.05021	0.04384	0	0.1	0.02359	0.002585
8	16	0.012	0.21	0.79	0.8691	190.2	0.05175	0	0.3868	0.08086	0.09958	0.05155	0	0.1406	0.05081	0.07196	0.04337	0	0.1	0.02023	0.004074
8	17	0.019	0.32	0.68	0.7628	190.5	0.05121	0	0.3956	0.1032	0.1725	0.05462	0	0.1328	0.06841	0.1441	0.04399	0	0.1	0.0318	0.005237
8	18	0.0225	0.38	0.62	0.7724	190.7	0.0531	0	0.4032	0.08913	0.1186	0.05648	0	0.1289	0.0614	0.06612	0.04324	0	0.1	0.02832	0.008684
8	19	0.0205	0.38	0.62	0.7762	190.2	0.05378	0	0.4072	0.08645	0.09776	0.05774	0	0.125	0.0701	0.1022	0.0426	0	0.1	0.03278	0.008664
8	20	0.015	0.26	0.74	0.8255	191	0.05396	0	0.406	0.08702	0.1332	0.06022	0	0.1094	0.09795	0.2231	0.04295	0	0.1	0.03825	0.007681
8	21	0.017	0.31	0.69	0.7988	191.8	0.05391	0	0.4048	0.08755	0.1552	0.06238	0	0.1172	0.06232	0.07171	0.04355	0	0.1	0.03293	0.00575
8	22	0.014	0.24	0.76	0.8041	191.7	0.05546	0	0.4012	0.0875	0.3129	0.06512	0	0.1211	0.0656	0.09805	0.04425	0	0.1	0.03136	0.004525
8	23	0.018	0.32	0.68	0.8063	194	0.05579	0	0.4044	0.08015	0.1493	0.0671	0	0.1172	0.07709	0.1502	0.04405	0	0.1	0.03029	0.004567
