|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
0	0	0.05	1	0	0.01871	0	0.0347	0	0	0.05527	0.1543	0.04307	0	0	0.03888	0.03172	0.04634	0	0	0.004969	0.001227
0	1	0.05	1	0	0.07703	194.5	0.03344	0	0	0.05386	0.1069	0.03345	0	0	0.04148	0.0455	0.04417	0	0	0.01441	0.002041
0	2	0.05	1	0	0.1374	194.6	0.03419	0	0	0.07055	0.2172	0.03002	0	0	0.04112	0.04014	0.04495	0	0	0.008872	0.001496
0	3	0.05	1	0	0.1616	192.5	0.0358	0	0	0.06254	0.1209	0.02827	0	0	0.04191	0.04341	0.04447	0	0	0.01679	0.005161
0	4	0.05	0.99	0.01	0.3319	190.5	0.03755	0	0	0.07057	0.1112	0.02863	0	0	0.04661	0.06086	0.04537	0	0	0.02378	0.005661
0	5	0.0485	0.96	0.04	0.4903	191.5	0.03858	0	0.148	0.08803	0.1376	0.03046	0	0.09375	0.04001	0.04313	0.04526	0	0.1	0.01978	0.004031
0	6	0.047	0.94	0.06	0.5229	190.5	0.03936	0	0.2764	0.07317	0.1271	0.03208	0	0.1328	0.04076	0.04495	0.04424	0	0.1	0.02564	0.003848
0	7	0.046	0.92	0.08	0.5931	192.2	0.04005	0	0.33	0.06612	0.174	0.03449	0	0.1562	0.04863	0.07408	0.04492	0	0.1	0.02244	0.005937
0	8	0.037	0.74	0.26	0.63	191.6	0.04192	0	0.352	0.06185	0.08085	0.03665	0	0.168	0.04727	0.04864	0.04408	0	0.1	0.0212	0.005332
0	9	0.038	0.74	0.26	0.6708	191.2	0.04361	0	0.3708	0.06757	0.1151	0.03794	0	0.1484	0.04424	0.04606	0.0433	0	0.1	0.01742	0.004119
0	10	0.037	0.7	0.3	0.6878	199.2	0.04456	0	0.3752	0.09888	0.2496	0.03868	0	0.1484	0.04087	0.0457	0.04381	0	0.1	0.02635	0.005249
0	11	0.0315	0.58	0.42	0.7362	196	0.04602	0	0.382	0.0793	0.1331	0.04065	0	0.1328	0.05332	0.07105	0.04379	0	0.1	0.0221	0.005092
0	12	0.028	0.53	0.47	0.7576	193.3	0.04736	0	0.388	0.07481	0.1906	0.04285	0	0.125	0.0676	0.1639	0.04399	0	0.1	0.02418	0.003857
0	13	0.0295	0.56	0.44	0.6927	191.6	0.04721	0	0.3936	0.08635	0.2406	0.04628	0	0.125	0.04637	0.06721	0.04456	0	0.1	0.023	0.005491
0	14	0.021	0.41	0.59	0.824	194.6	0.04913	0	0.386	0.07286	0.1315	0.04769	0	0.1211	0.04848	0.05231	0.04413	0	0.1	0.03626	0.005506
0	15	0.0195	0.38	0.62	0.7533	192.6	0.05033	0	0.3868	0.08007	0.1462	0.05076	0	0.125	0.06074	0.07652	0.04435	0	0.1	0.02766	0.004488
0	16	0.0225	0.37	0.63	0.7739	195.9	0.05059	0	0.3896	0.1022	0.1937	0.05223	0	0.1211	0.041	0.04848	0.04483	0	0.1	0.01914	0.004329
0	17	0.0145	0.25	0.75	0.8393	194.4	0.05159	0	0.3892	0.08337	0.1163	0.05428	0	0.1172	0.0551	0.09951	0.04381	0	0.1	0.02125	0.003666
0	18	0.0155	0.28	0.72	0.831	197.6	0.05251	0	0.388	0.08301	0.1458	0.05635	0	0.1133	0.0544	0.117	0.04297	0	0.1	0.03946	0.005863
0	19	0.0145	0.26	0.74	0.8172	196.3	0.05395	0	0.384	0.08536	0.2136	0.05868	0	0.1172	0.05164	0.0653	0.04335	0	0.1	0.02273	0.004177
0	20	0.0165	0.26	0.74	0.7893	193.4	0.05401	0	0.3932	0.09564	0.1781	0.06118	0	0.1133	0.08996	0.2008	0.04331	0	0.1	0.02523	0.006489
0	21	0.02	0.31	0.69	0.7842	192.3	0.05371	0	0.3964	0.1131	0.2537	0.063	0	0.1094	0.05778	0.08792	0.0424	0	0.1	0.03076	0.007521
0	22	0.018	0.27	0.73	0.8135	195.9	0.05432	0	0.3992	0.09711	0.3905	0.0649	0	0.1172	0.08141	0.1996	0.0434	0	0.1	0.02874	0.003961
0	23	0.0125	0.2	0.8	0.8325	196.4	0.05575	0	0.3944	0.1078	0.2615	0.06723	0	0.1133	0.07552	0.223	0.04413	0	0.1	0.03114	0.005536
0	24	0.0155	0.25	0.75	0.8013	195.6	0.05656	0	0.3876	0.08139	0.1971	0.06849	0	0.1016	0.04481	0.0555	0.04352	0	0.1	0.02297	0.002682
0	25	0.015	0.22	0.78	0.8097	201.8	0.05779	0	0.3864	0.1032	0.215	0.07084	0	0.1016	0.08199	0.3242	0.04356	0	0.1	0.03034	0.004212
0	26	0.012	0.18	0.82	0.8337	199.3	0.0579	0	0.392	0.1131	0.3536	0.07264	0	0.1016	0.06047	0.1167	0.04417	0	0.1	0.02559	0.003099
0	27	0.012	0.2	0.8	0.8587	200.2	0.05842	0	0.3904	0.0819	0.2334	0.07452	0	0.1016	0.07176	0.09309	0.04488	0	0.1	0.0257	0.005066
0	28	0.0135	0.18	0.82	0.8253	196.4	0.05836	0	0.3884	0.08511	0.1865	0.07597	0	0.1016	0.06714	0.1675	0.04401	0	0.1	0.02932	0.003173
0	29	0.015	0.24	0.76	0.8129	192.8	0.0579	0	0.3924	0.1172	0.6734	0.07787	0	0.1055	0.05777	0.1113	0.04408	0	0.1	0.03483	0.00444
0	30	0.0135	0.18	0.82	0.8329	194.1	0.05848	0	0.3888	0.1007	0.3923	0.07892	0	0.1094	0.06841	0.1418	0.04303	0	0.1	0.03131	0.007831
0	31	0.012	0.19	0.81	0.8252	193.5	0.05916	0	0.3888	0.1199	0.4938	0.08106	0	0.1055	0.07225	0.2021	0.04223	0	0.1	0.03508	0.006334
0	32	0.012	0.19	0.81	0.8664	193	0.05914	0	0.39	0.1038	0.4157	0.08322	0	0.1055	0.08654	0.1641	0.04395	0	0.1	0.02631	0.005243
0	33	0.016	0.22	0.78	0.8141	197.6	0.05954	0	0.392	0.09804	0.4411	0.08573	0	0.1094	0.09692	0.3595	0.04395	0	0.1	0.03091	0.004709
0	34	0.0115	0.16	0.84	0.8441	196.5	0.06005	0	0.388	0.09774	0.1979	0.08624	0	0.1133	0.09217	0.2159	0.04442	0	0.1	0.03412	0.006069
0	35	0.014	0.19	0.81	0.8196	192	0.06072	0	0.3936	0.1203	0.3732	0.08874	0	0.1094	0.1125	0.2193	0.04379	0	0.1	0.03233	0.006328
0	36	0.013	0.18	0.82	0.8218	192	0.06075	0	0.3924	0.07748	0.3888	0.09047	0	0.1172	0.06719	0.1172	0.04371	0	0.1	0.02782	0.002342
